1353,823,175,-387,-857,-1208,-1386,-1364,-1133,-599,-5,546,1126,1586,1878,1906,1831,1386,942,328,-306,-724,-1165,-1337,-1326,-1154,-682,-94,401,1002,1495,1788,1938,1832,1550,1102,490,-134,-656,-1096,-1295,-1445,-1224,-835,-300,282,888,1385,1725,1937,1915,1642,1132,629,-37,-623,-1012,-1310,-1434,-1277,-845,-337,201,767
2877,3223,4049,4328,3038,-180,-2985,-3516,-1405,820,2536,2542,1479,2050,2398,2947,3087,2854,3199,4301,4483,2701,-749,-3067,-3332,-1077,1399,2537,2204,1569,1813,2462,3128,3057,2700,3473,4585,4383,2031,-958,-3474,-3293,-674,1816,2464,2124,1438,1993,2593,3216,3097,2772,3377,4656,4363,1453,-1615,-3462,-2808,-479,1851,2418,2016,1581
648,571,679,876,1225,1589,1879,2065,2041,1959,1649,1215,858,664,575,572,873,1273,1668,1921,2051,2092,1828,1578,1191,864,622,571,700,863,1274,1696,1955,2016,2057,1811,1537,1115,789,609,499,680,936,1290,1716,2001,2062,2009,1833,1446,1081,728,680,485,686,949,1342,1723,1962,2071,1980,1818,1429,1051
2363,3456,3450,2795,2303,929,-1602,-2867,-851,2898,4434,3270,2642,3316,3805,3622,2061,1271,-457,-3078,-2020,1780,4004,3962,2579,2384,3542,3503,2675,2141,194,-2126,-2752,-522,3137,4169,3197,2401,3178,3797,2765,1770,1155,-995,-2831,-1850,2221,3794,3973,2510,2853,3920,3280,2542,1456,144,-2092,-2554,396,3483,4297,2547,2544,3403
-22,1051,2258,3251,3954,4103,3721,2908,1827,673,-314,-983,-1060,-606,193,1307,2541,3478,4034,4013,3617,2640,1527,352,-530,-1039,-986,-402,467,1700,2821,3657,4122,3967,3351,2339,1180,51,-725,-1103,-859,-190,747,1952,3066,3763,4129,3888,3135,2105,880,-147,-898,-1106,-728,11,1146,2303,3275,3964,4178,3655,2956,1755
495,653,1387,1805,1394,203,42,683,1671,3021,3557,3195,1602,456,638,1392,1477,826,142,62,776,1718,3040,3152,2668,1673,1016,1089,1452,1676,1058,24,591,798,2138,3372,3493,2543,776,346,776,1817,1614,250,430,314,1458,1843,3398,3456,2275,710,526,923,1723,1363,304,-234,540,1041,2543,2995,3521,2342
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768
32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
